product_id,product_type,product_name,product_option
25,아이브로우,[한정기획] 페리페라 스피디 스키니 브로우 더블기획,[떡이당][더블기획] 08 토프베이지
26,립밤,[NEW] 브링그린 대나무히알루 립에센스 더블기획,
27,립&아이리무버,[증량UP 한정수량] 키스미 히로인메이크 스피디 마스카라 전용 리무버,[증량버전]스피디 리무버 7.3ml
28,패드,"[도경수PICK] 더마토리 하이포알러제닉 시카거즈 패드 80매(+80매 리필,밴드마스크1매)",모공패드 70매+70매
29,면도기/면도날,비너스 올레이 슈가베리 면도기 본품기획/리필 2종 택1,본품 기획(핸들1+날2)
30,마스카라,홀리카홀리카 래쉬코렉팅 마스카라/ 케어 속눈썹 영양제 꿀조합교차기획,01에센셜+01에센셜
31,에센스/세럼/앰플,[11월 올영픽/1+1][흔적세럼] 마데카소사이드 흔적 리페어 세럼 더블 기획(40ml+40ml),
32,마스크팩,[11월올영픽/60+60매] 프리메라 마일드 앤 퍼펙트 포어 필링 패드 기획/단품,
33,쉐이딩,[브러쉬 증정 기획] 에뛰드 재창조 메이커 쉐딩 스틱 브러쉬 한정 기획 /단품 (웜&쿨),재창조 메이커 브러쉬 기획_쿨
34,립메이크업,[NEW] 컬러그램 누디 블러 틴트 8 COLOR,01 살구살몬
35,아이크림,[11월 올영픽] 차앤박 프로폴리스 에센셜 아이크림 50ml 더블기획 (50ml+50ml),
36,에센스/세럼/앰플,[한정기획] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 1+1 기획 (+크림10ml+마스크1매),
37,스킨/토너,[한정기획][미스트펌프 증정] 라네즈 크림스킨 170ml 기획 (+130ml 리필+미스트펌프),
38,마스크팩,[모공교정] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드 리필 기획(리필70매),
39,마스크팩,브링그린 프레시마스크 1매 5종,슈퍼레몬글루타치온
38,마스크팩,[모공교정] 바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드 리필 기획(리필70매),
40,메이크업소품,[NEW] 필리밀리 미니 탭핑퍼프 (베이스&블러쉬 4P +케이스 증정),
41,마스크팩,[밀착수분충전] 아비브 껌딱지 시트 마스크 수분초 히알루론 스티커 5매 (+1매 증정기획),
