product_id,product_type,product_name,product_option
1,스킨/토너,라네즈 크림 스킨,
2,스킨/토너,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),
3,스킨/토너,[모공개선/탄력광채] 넘버즈인 3번 결광가득 에센스 토너 300ml 대용량 기획,
4,스킨/토너,에스트라 에이시카365 수분진정결토너 250ml,
5,스킨/토너,[1등토너] 라운드랩 1025 독도 토너 500ml 대용량 기획 (+100ml 증정),
6,스킨/토너,브링그린 티트리시카토너 &크림기획,[옵션] 500ml+트러블세럼3ml
6,스킨/토너,브링그린 티트리시카토너 &크림기획,[옵션] 티트리시카토너250ml&크림100ml기획
6,스킨/토너,브링그린 티트리시카토너 &크림기획,[옵션] 티트리시카토너500mL+트러블세럼3mL
6,스킨/토너,브링그린 티트리시카토너 &크림기획,[옵션] 토너250+크림100
7,스킨/토너,[스누피키링증정] 아누아 어성초 77 깐달걀 토너 500ml 스누피 한정 기획세트,
8,스킨/토너,[속보습] 더랩바이블랑두 올리고 히알루론산 딥 토너 500ml 대용량 기획 (+100ml),
9,스킨/토너,[쿨링진정]넘버즈인 1번 진정 맑게담은 청초토너 300ml 리필기획(+300ml 증정),
10,스킨/토너,[맑눈광PICK/단독기획] 웰라쥬 리얼 히알루로닉 100 토너 300ml 기획 (+화장솜 60매),
11,스킨/토너,[화해1위/디렉터파이TOP] 에스네이처 아쿠아 오아시스 토너 300ml 기획(+ 수분크림30ml증정),
11,스킨/토너,[화해1위/디렉터파이TOP] 에스네이처 아쿠아 오아시스 토너 300ml 기획(+ 수분크림30ml증정),[옵션] 토너 300ml 기획(+젤크림 30ml)
11,스킨/토너,[화해1위/디렉터파이TOP] 에스네이처 아쿠아 오아시스 토너 300ml 기획(+ 수분크림30ml증정),[옵션] 토너 300ml 기획(+크림 30ml)
12,스킨/토너,아벤느 젠틀 토닝 로션 200ml 더블기획,
13,스킨/토너,[단독기획] 토니모리 원더 세라마이드 모찌 토너 (본품500ml+100ml),
14,스킨/토너,[수분생기] 라운드랩 자작나무 수분 토너 1+1 기획 (300ml+300ml),
15,스킨/토너,[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획/단품,[옵션] 500ml+트러블세럼3ml
15,스킨/토너,[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획/단품,
15,스킨/토너,[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획/단품,[옵션] 500ml+100ml
15,스킨/토너,[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획/단품,[옵션] 500ml
16,스킨/토너,[쿨링진정] 아비브 어성초 카밍 토너 스킨부스터 더블 기획 (200ml+200ml),
17,스킨/토너,[단독기획] 토리든 다이브인 저분자 히알루론산 토너 500ml 기획 (+화장솜 60매 증정),
